TIcker	Company	CEO	Compensation	Compensation (M)	Median Worker Pay	Ratio
FBHS	Fortune Brands Home &amp; Security, Inc.	Christopher Klein	8611331	8.6113310	49020	176
BBT	BB&amp;T Corporation	Kelly King	8584675	8.5846750	68778	125
CHRW	C.H. Robinson Worldwide, Inc.	John Wiehoff	8558856	8.5588560	63270	135
HBAN	Huntington Bancshares Incorporated	Stephen Steinour	8556915	8.5569150	58188	147
MLM	Martin Marietta Materials, Inc.	C. Nye	8533458	8.5334580	71335	120
IFF	International Flavors &amp; Fragrances Inc.	Andreas Fibig	8521940	8.5219400	60167	142
HRB	H&amp;R Block, Inc.	Jeffrey Jones II	8504020	8.5040200	16182	526
HAS	Hasbro, Inc.	Brian Goldner	8499623	8.4996230	66893	127
AEE	Ameren Corporation	Warner Baxter	8454460	8.4544600	119718	71
CBOE	Cboe Global Markets, Inc.	Edward Tilly	8453137	8.4531370	159496	53
TAP	Molson Coors Brewing Company	Mark Hunter	8341482	8.3414820	73135	114
XYL	Xylem Inc.	Patrick Decker	8327670	8.3276700	49549	168
WAT	Waters Corporation	Christopher O'Connell	8258221	8.2582210	78872	105
CHTR	Charter Communications, Inc.	Thomas Rutledge	8157264	8.1572640	55560	147
CMS	CMS Energy Corporation	Patricia Poppe	8091185	8.0911850	106125	76
AJG	Arthur J. Gallagher &amp; Co.	J. Gallagher	8062954	8.0629540	64495	125
SJM	The J. M. Smucker Company	Mark Smucker	8056890	8.0568900	71045	113
QRVO	Qorvo, Inc.	Robert Bruggeworth	7984739	7.9847390	44708	179
HST	Host Hotels &amp; Resorts, Inc.	James Risoleo	7981175	7.9811750	183956	43
NTRS	Northern Trust Corp.	Michael O'Grady	7971986	7.9719860	73203	109
FLIR	FLIR Systems, Inc.	James Cannon	7959846	7.9598460	73692	108
CMG	Chipotle Mexican Grill, Inc.	Steve Ells	7955042	7.9550420		
PAYX	Paychex, Inc.	Martin Mucci	7930520	7.9305200	56018	142
VMC	Vulcan Materials Company	J. Hill	7802414	7.8024140	79390	98
HP	Helmerich &amp; Payne, Inc.	John Lindsay	7777164	7.7771640	76525	102
CF	CF Industries Holdings, Inc.	W. Will	7758005	7.7580050	107901	72
FLT	FleetCor Technologies, Inc.	Ronald Clarke	7757388	7.7573880	33330	233
VRSK	Verisk Analytics, Inc.	Scott Stephenson	7743757	7.7437570	75628	102
LUV	Southwest Airlines Co.	Gary Kelly	7726455	7.7264550	78494	98
SIVB	SVB Financial Group	Greg Becker	7648576	7.6485760	135614	56
ALLE	Allegion Plc	David Petratis	7586780	7.5867800	45460	167
CDNS	Cadence Design Systems, Inc.	Lip-Bu Tan	7556368	7.5563680	112583	67
ANET	Arista Networks, Inc.	Jayshree Ullal	7550074	7.5500740	135688	56
AMG	Affiliated Managers Group, Inc.	Nathaniel Dalton	7538535	7.5385350	146010	52
FRT	Federal Realty Investment Trust	Donald Wood	7464182	7.4641820	108562	69
SNPS	Synopsys, Inc.	Aart Geus	7432836	7.4328360	92995	80
COST	Costco Wholesale Corp.	W. Jelinek	7408513	7.4085130	38810	191
RF	Regions Financial Corporation	John Turner Jr.	7397623	7.3976230	64629	114
BR	Broadridge Financial Solutions, Inc.	Timothy Gokey	7285994	7.2859940	69912	104
CHD	Church &amp; Dwight Co., Inc.	Matthew Farrell	7267713	7.2677130	64001	114
OKE	ONEOK, Inc.	Terry Spencer	7099869	7.0998690	130481	54
MTD	Mettler-Toledo International Inc.	Olivier Filliol	7069870	7.0698700	42416	167
RE	Everest Re Group, Ltd.	Dominic Addesso	7066735	7.0667350	140639	50
O	Realty Income Corporation	Sumit Roy	7010019	7.0100190	97630	72
EXPD	Expeditors International of Washington, Inc.	Jeffrey Musser	6915480	6.9154800	43730	158
CPB	Campbell Soup Company	Mark Clouse	6895774	6.8957740	60357	114
DRE	Duke Realty Corporation	James Connor	6873613	6.8736130	118436	58
FFIV	F5 Networks, Inc.	Francois Locoh-Donou	6857047	6.8570470	146911	47
JBHT	J.B. Hunt Transport Services, Inc.	John Roberts	6846236	6.8462360	62150	110
LW	Lamb Weston Holdings, Inc.	Thomas Werner	6837282	6.8372820	55629	123
IDXX	IDEXX Laboratories, Inc.	Jonathan Ayers	6819950	6.8199500	52734	129
EVRG	Evergy, Inc.	Terry Bassham	6818344	6.8183440	133449	51
AOS	A. O. Smith Corporation	Ajita Rajendra	6790412	6.7904120		
XRX	Xerox Holdings Corp.	Jeffrey Jacobson	6788597	6.7885970		
FTNT	Fortinet, Inc.	Ken Xie	6761686	6.7616860	131767	51
ALB	Albemarle Corporation	Luther Kissam	6666394	6.6663940	78867	85
AGN	Allergan Plc	Brenton Saunders	6624473	6.6244730	89976	74
XLNX	Xilinx, Inc.	Victor Peng	6589807	6.5898070	148150	44
UAA	Under Armour, Inc.	Kevin Plank	6556629	6.5566290	10832	605
LNT	Alliant Energy Corp.	Patricia Kampling	6520709	6.5207090	98700	66
HSIC	Henry Schein, Inc.	Stanley Bergman	6481739	6.4817390	74931	87
ISRG	Intuitive Surgical, Inc.	Gary Guthart	6423078	6.4230780	163552	39
COO	The Cooper Cos., Inc.	Robert Weiss	6397266	6.3972660		
HRL	Hormel Foods Corp.	James Snee	6353255	6.3532550	43131	147
UDR	UDR, Inc.	Thomas Toomey	6278476	6.2784760	63292	99
ETFC	E*TRADE Financial Corporation	Karl Roessner	6253098	6.2530980	102732	61
TFX	Teleflex Incorporated	Liam Kelly	6108486	6.1084860	43225	141
PNR	Pentair Plc	John Stauch	6014401	6.0144010	58564	103
NI	NiSource Inc.	Joseph Hamrock	5778515	5.7785150	97754	59
KIM	Kimco Realty Corporation	Conor Flynn	5743899	5.7438990	98568	58
EQIX	Equinix, Inc.	Peter Van Camp	5726629	5.7266290		
L	Loews Corporation	James Tisch	5714569	5.7145690	72554	79
PBCT	People's United Financial, Inc.	John Barnes	5700285	5.7002850	66596	86
DFS	Discover Financial Services	Roger Hochschild	5664102	5.6641020	49717	114
HII	Huntington Ingalls Industries, Inc.	C. Petters	5551979	5.5519790	69824	80
KSU	Kansas City Southern	Patrick Ottensmeyer	5523327	5.5233270	48187	115
DISH	DISH Network Corporation	W. Carlson	5320917	5.3209170	54048	98
GPC	Genuine Parts Company	Paul Donahue	5300329	5.3003290	38485	138
WAB	Westinghouse Air Brake Technologies Corporation	Raymond Betler	5250248	5.2502480	39210	134
AVGO	Broadcom Inc.	Hock Tan	5042937	5.0429370	202915	25
BWA	BorgWarner Inc.	Frederic Lissalde	5008443	5.0084430	45547	110
WLTW	Willis Towers Watson Public Limited Company	John Haley	4991828	4.9918280	59079	84
AWK	American Water Works Company, Inc.	Susan Story	4983114	4.9831140	83599	60
ROL	Rollins, Inc.	Gary Rollins	4872075	4.8720750	111960	44
ORLY	O'Reilly Automotive, Inc.	Gregory Johnson	4866262	4.8662620	21373	228
JKHY	Jack Henry &amp; Associates, Inc.	David Foss	4851479	4.8514790	69325	70
MTB	M&amp;T Bank Corporation	Rene Jones	4770132	4.7701320	62061	77
MHK	Mohawk Industries, Inc.	Jeffrey Lorberbaum	4631485	4.6314850	41747	111
LB	L Brands, Inc.	Leslie Wexner	4553310	4.5533100	14186	321
JWN	Nordstrom, Inc.	Blake Nordstrom	4476030	4.4760300		
ALK	Alaska Air Group, Inc.	Bradley Tilden	4374845	4.3748450	54584	80
PRGO	Perrigo Company plc	John Hendrickson	4369557	4.3695570		
ZION	Zions Bancorporation, National Association	Harris Simmons	4363039	4.3630390	66890	65
ATO	Atmos Energy Corp.	Kim Cocklin	4351020	4.3510200		
EFX	Equifax Inc.	Paulino Rego Barros Jr.	4267422	4.2674220		
AZO	AutoZone, Inc.	William Rhodes	4220619	4.2206190	23546	179
LKQ	LKQ Corporation	Dominick Zarcone	3978116	3.9781160	30488	130
BF.B	Brown-Forman Corporation	Lawson Whiting	3695893	3.6958930	58714	63
CINF	Cincinnati Financial Corporation	Steven Johnston	3444610	3.4446100	88046	39
MO	Altria Group, Inc.	Martin Barrington	3199402	3.1994020		
MSCI	MSCI Inc.	Henry Fernandez	2978454	2.9784540	55857	53
GRMN	Garmin Ltd.	Clifton Pemble	2932920	2.9329200	38134	77
FAST	Fastenal Company	Daniel Florness	2429411	2.4294110	39229	62
TRIP	TripAdvisor, Inc.	Stephen Kaufer	1972764	1.9727640	101586	19
AMZN	Amazon.com, Inc.	Jeffrey Bezos	1681840	1.6818400	28836	58
IPGP	IPG Photonics Corporation	Valentin Gapontsev	1653996	1.6539960	49703	33
ORCL	Oracle Corporation	Safra Catz	965981	0.96598100	83813	12
WYNN	Wynn Resorts Ltd.	Stephen Wynn	786361	0.78636100		
HPE	Hewlett Packard Enterprise Company	Margaret Whitman	750042	0.75004200		
XRAY	DENTSPLY SIRONA Inc.	Mark Thierer	714436	0.71443600		
LRCX	Lam Research Corporation	Martin Anstice	465192	0.46519200		
BRK.B	Berkshire Hathaway Inc.	Warren Buffett	388968	0.38896800	58691	7
CPRT	Copart, Inc.	A. Adair	203005	0.20300500	36906	6
INFO	IHS Markit Ltd.	Jerre Stead	187067	0.18706700		
TTWO	Take-Two Interactive Software, Inc.	Strauss Zelnick	109540	0.10954000	67714	2
ARNC	Arconic Inc.	David Hess	67418	0.06741800		
TWTR	Twitter, Inc.	Jack Dorsey	1	0.00000100		
GOOGL	Alphabet Inc.	Larry Page	1	0.00000100
