TIcker	Company	CEO	Compensation	Compensation (M)	Median Worker Pay	Ratio
VLO	Valero Energy Corporation	Joseph Gorder	18759156	18.759156	153981	122
ALL	The Allstate Corporation	Thomas Wilson	18687246	18.687246	72363	258
DD	DuPont de Nemours, Inc.	Edward Breen	18675302	18.675302	75018	249
TMO	Thermo Fisher Scientific Inc.	Marc Casper	18607103	18.607103	79275	235
AMGN	Amgen, Inc.	Robert Bradway	18555266	18.555266	131375	141
DE	Deere &amp; Co.	Samuel Allen	18525667	18.525667	76083	243
FIS	Fidelity National Information Services, Inc.	Gary Norcross	18451529	18.451529	46929	393
WFC	Wells Fargo &amp; Company	Timothy Sloan	18426734	18.426734	65191	283
UTX	United Technologies Corporation	Gregory Hayes	18418315	18.418315	71799	257
EA	Electronic Arts Inc.	Andrew Wilson	18320071	18.320071	91661	200
LYB	LyondellBasell Industries NV	Bhavesh V. Patel	18206797	18.206797	114759	159
EBAY	eBay Inc.	Devin Wenig	18172166	18.172166	119562	152
UNH	UnitedHealth Group Incorporated	David Wichmann	18107356	18.107356	57412	315
INTC	Intel Corporation	Brian Krzanich	18050300	18.050300		
WRK	WestRock Co.	Steven Voorhees	18030504	18.030504	53553	337
VFC	VF Corp.	Steven Rendle	17842521	17.842521	10099	1767
MDT	Medtronic Plc	Omar Ishrak	17796325	17.796325	74206	240
F	Ford Motor Company	James Hackett	17752835	17.752835	64316	276
ITW	Illinois Tool Works Inc.	E. Santi	17708516	17.708516	49632	357
LEN	Lennar Corporation	Richard Beckwitt	17583466	17.583466	88244	199
TXN	Texas Instruments Incorporated	Richard Templeton	17576224	17.576224	83905	209
IBM	International Business Machines Corporation	Virginia Rometty	17552218	17.552218	55088	319
AFL	Aflac Incorporated	Daniel Amos	17535398	17.535398	52756	332
PH	Parker-Hannifin Corporation	Thomas Williams	17472500	17.472500	57282	305
MET	MetLife, Inc.	Steven Kandarian	17426745	17.426745	73464	237
MCK	McKesson Corporation	John Hammergren	17400207	17.400207	38026	458
BBY	Best Buy Co., Inc.	Hubert Joly	17382486	17.382486	28500	610
SYMC	Symantec Corp.	Gregory Clark	17347581	17.347581	102869	169
COF	Capital One Financial Corporation	Richard Fairbank	17333796	17.333796	67165	258
CMI	Cummins Inc.	N. Linebarger	17291978	17.291978	61576	281
MMC	Marsh &amp; McLennan Companies, Inc.	Daniel Glaser	17281919	17.281919	64238	269
DXC	DXC Technology Co.	J. Lawrie	17256539	17.256539	41602	415
LLY	Eli Lilly and Company	David Ricks	17230337	17.230337	91246	189
TGT	Target Corporation	Brian Cornell	17204069	17.204069	22439	767
PVH	PVH Corp.	Emanuel Chirico	17065604	17.065604	18089	943
HAL	Halliburton Company	Jeffrey Miller	16999898	16.999898	88244	193
IPG	The Interpublic Group of Companies, Inc.	Michael Roth	16970730	16.970730	73494	231
KMI	Kinder Morgan, Inc.	Steven Kean	16908961	16.908961	106850	158
GPN	Global Payments Inc.	Jeffrey Sloan	16818560	16.818560	60931	276
KO	The Coca-Cola Company	James Quincey	16701328	16.701328	16440	1016
GE	General Electric Company	John Flannery	16643290	16.643290		
MKTX	MarketAxess Holdings Inc.	Richard McVey	16625183	16.625183	145811	114
ALXN	Alexion Pharmaceuticals, Inc.	Ludwig Hantson	16490250	16.490250	223882	74
IQV	IQVIA Holdings, Inc.	Ari Bousbib	16461779	16.461779	90097	183
FCX	Freeport-McMoRan, Inc.	Richard Adkerson	16424035	16.424035	75158	219
HUM	Humana Inc.	Bruce Broussard	16312517	16.312517	70498	231
CELG	Celgene Corporation	Mark Alles	16223923	16.223923	263237	62
SLB	Schlumberger NV	Paal Kibsgaard	16199200	16.199200	75134	216
BIIB	Biogen Inc.	Michel Vounatsos	16168646	16.168646	170521	95
AON	Aon Plc	Gregory Case	16163875	16.163875	69784	232
STT	State Street Corporation	Joseph Hooley	16102525	16.102525	68527	235
FDX	FedEx Corporation	Frederick Smith	15961974	15.961974	52718	303
BHGE	Baker Hughes, a GE company	Lorenzo Simonelli	15959761	15.959761	77042	207
PM	Philip Morris International Inc.	Andre Calantzopoulos	15934235	15.934235	50971	313
EMN	Eastman Chemical Company	Mark Costa	15918483	15.918483	89284	178
MCD	McDonald's Corporation	Stephen Easterbrook	15876116	15.876116	7473	2124
LHX	L3Harris Technologies, Inc.	William Brown	15723532	15.723532	106861	147
AAPL	Apple, Inc.	Timothy Cook	15682219	15.682219	55426	283
PNC	The PNC Financial Services Group, Inc.	William Demchak	15676294	15.676294	67648	232
BAX	Baxter International Inc.	Jose Almeida	15645125	15.645125	45226	346
EXC	Exelon Corporation	Christopher Crane	15643078	15.643078	124000	126
SCHW	The Charles Schwab Corporation	Walter Bettinger II	15627607	15.627607	104281	150
EMR	Emerson Electric Co.	David Farr	15609527	15.609527	36791	424
IR	Ingersoll-Rand Public Limited Company	Michael Lamach	15585485	15.585485	61418	254
CAH	Cardinal Health, Inc.	Michael Kaufmann	15570944	15.570944	57261	272
NUE	Nucor Corporation	John Ferriola	15559469	15.559469	106097	147
NWL	Newell Brands, Inc.	Michael Polk	15547207	15.547207	34688	448
JCI	Johnson Controls International Plc	George Oliver	15393868	15.393868	49613	310
